# Bản thảo nghĩa tiếng Việt ngắn dựa trên KANJIDIC2 (CC BY-SA 4.0).
# Chưa được duyệt ngôn ngữ; bổ sung/hiệu chỉnh trong curated_vi.json.
一	Một
春	Mùa xuân
昼	Ban ngày; buổi trưa
時	Thời gian; giờ
晴	Trời quang
曜	Ngày trong tuần
書	Viết; sách
月	Tháng; mặt trăng
朝	Buổi sáng; triều đại
木	Cây; gỗ
本	Gốc; sách
村	Làng
来	Đến
東	Phía đông
林	Rừng cây
校	Trường học; đối chiếu
森	Rừng rậm
楽	Vui; thoải mái; âm nhạc
歌	Bài hát; hát
止	Dừng
正	Đúng; chính xác
歩	Đi bộ; bước
母	Mẹ
毎	Mỗi
毛	Lông; tóc
気	Khí; tinh thần
水	Nước
池	Ao
汽	Hơi nước
活	Sống; hoạt động
海	Biển
火	Lửa
点	Điểm; chấm
父	Cha
牛	Bò; trâu
犬	Chó
玉	Ngọc; viên tròn
王	Vua
理	Lý lẽ; quy luật
生	Sống; sinh ra
用	Dùng
田	Ruộng lúa
男	Đàn ông
町	Thị trấn; khu phố
画	Tranh; nét vẽ
番	Số thứ tự; lượt
白	Trắng
百	Trăm
目	Mắt; mục
直	Thẳng; sửa chữa
矢	Mũi tên
知	Biết; tri thức
石	Đá
社	Công ty; đền Thần đạo
秋	Mùa thu
科	Khoa; môn học
空	Trống; bầu trời
立	Đứng; dựng lên
竹	Tre
答	Trả lời
算	Tính toán
米	Gạo; nước Mỹ
糸	Sợi tơ
紙	Giấy
細	Mảnh; nhỏ; chi tiết
組	Nhóm; tổ chức; ghép
絵	Tranh vẽ
線	Đường; tuyến
羽	Lông vũ; cánh
考	Suy nghĩ; xem xét
耳	Tai
聞	Nghe; hỏi
肉	Thịt
自	Tự mình
船	Thuyền; tàu
色	Màu sắc
花	Hoa
茶	Trà
草	Cỏ
虫	Côn trùng
行	Đi; thực hiện; hàng
西	Phía tây
見	Nhìn; thấy
親	Cha mẹ; thân thiết
角	Góc; sừng
言	Nói; lời
計	Đo; tính; kế hoạch
記	Ghi chép
話	Nói chuyện; câu chuyện
語	Ngôn ngữ; từ
読	Đọc
谷	Thung lũng
貝	Sò; vỏ sò
買	Mua
赤	Đỏ
走	Chạy
足	Chân; đủ
車	Xe
近	Gần
通	Đi qua; thông suốt
週	Tuần
道	Đường; đạo lý
遠	Xa
里	Làng; đơn vị lý
野	Đồng; hoang dã
金	Vàng; kim loại; tiền
長	Dài; người đứng đầu
門	Cổng
間	Khoảng; giữa
雨	Mưa
雪	Tuyết
雲	Mây
電	Điện
青	Xanh
音	Âm thanh
頭	Đầu
顔	Khuôn mặt
風	Gió; phong cách
食	Ăn; thức ăn
首	Cổ; đầu
馬	Ngựa
高	Cao; đắt
魚	Cá
鳥	Chim
鳴	Kêu; reo; vang
麦	Lúa mạch
黄	Vàng
黒	Đen
丁	Khu phố; can Đinh
不	Không
世	Thế giới; đời
両	Cả hai
主	Chủ; chính
乗	Lên xe; cưỡi; nhân
予	Trước; dự tính
争	Tranh giành
事	Việc; sự việc
井	Giếng
仕	Phục vụ; làm việc
他	Khác
付	Gắn; kèm
代	Thay thế; thời đại; tiền phí
令	Mệnh lệnh
以	Bằng; lấy làm
仲	Quan hệ; trung gian
伝	Truyền; kể lại
位	Vị trí; cấp bậc
低	Thấp
住	Sống; cư trú
佐	Giúp đỡ; phụ tá
使	Sử dụng; sai khiến
例	Ví dụ
便	Tiện lợi; thư; phân
係	Phụ trách; liên quan
信	Tin; lòng tin
倉	Kho
倍	Gấp; lần
候	Khí hậu; mùa; chờ
借	Mượn; thuê
健	Khỏe mạnh
側	Bên; phía
働	Làm việc
億	Một trăm triệu
兆	Nghìn tỷ; điềm báo
児	Trẻ em
全	Toàn bộ
共	Cùng; chung
兵	Binh lính
具	Dụng cụ; nguyên liệu
典	Điển; nghi lễ; quy tắc
写	Chép; chụp
冷	Lạnh
列	Hàng; dãy
初	Đầu tiên
別	Khác; chia tay
利	Lợi ích
刷	In; chải
副	Phó; bản sao
功	Công lao
加	Thêm; cộng
助	Giúp đỡ
努	Cố gắng
労	Lao động; vất vả
勇	Dũng cảm
勉	Nỗ lực
動	Chuyển động
勝	Thắng
包	Bọc; gói
化	Biến đổi
区	Quận; khu
医	Y; bác sĩ
卒	Tốt nghiệp; lính
協	Hợp tác
単	Đơn; đơn giản
博	Uyên bác; tiến sĩ
印	Dấu; con dấu
去	Rời đi; quá khứ
参	Tham gia; đến thăm
反	Ngược; phản đối
取	Lấy
受	Nhận
号	Số; hiệu
司	Quản lý; điều hành
各	Mỗi
向	Hướng; đối mặt
君	Bạn; ngài; vua
周	Xung quanh; chu vi
味	Vị
命	Mạng sống; mệnh lệnh
和	Hòa; kiểu Nhật
品	Hàng hóa; phẩm chất
員	Thành viên
唱	Hát; xướng
商	Buôn bán
問	Hỏi; vấn đề
器	Đồ đựng; dụng cụ
固	Cứng; cố định
坂	Dốc
城	Thành; lâu đài
埼	Mũi đất
塩	Muối
変	Thay đổi; lạ
夫	Chồng
央	Trung tâm
失	Mất; sai sót
奈	Nại; dùng trong tên Nara
好	Thích; tốt
始	Bắt đầu
委	Ủy thác
媛	Người đẹp; công chúa
季	Mùa
孫	Cháu
守	Bảo vệ; tuân thủ
安	Yên; rẻ
完	Hoàn thành
官	Quan chức
定	Quyết định; cố định
実	Thực; quả; hạt
客	Khách
宮	Cung điện; đền
害	Hại
宿	Trọ; nhà trọ
富	Giàu
寒	Lạnh
察	Quan sát; xét đoán
対	Đối; so sánh
局	Cục; cơ quan
屋	Nhà; cửa hàng
岐	Ngã rẽ
岡	Đồi
岸	Bờ
島	Đảo
崎	Mũi đất
州	Bang; châu
巣	Tổ
差	Khác biệt
希	Hy vọng; hiếm
席	Chỗ ngồi
帯	Đai; vùng
帳	Sổ; màn
平	Bằng phẳng; hòa bình
幸	Hạnh phúc; may mắn
底	Đáy
府	Phủ; cơ quan chính quyền
度	Độ; lần
庫	Kho
庭	Sân; vườn
康	Yên ổn; khỏe mạnh
建	Xây dựng
式	Kiểu; nghi thức; công thức
役	Vai trò; nhiệm vụ
径	Đường kính; lối đi
待	Chờ
徒	Đồ đệ; đi bộ; vô ích
徳	Đức
必	Nhất định
念	Ý nghĩ; nhớ; niệm
急	Gấp; đột ngột
息	Hơi thở; nghỉ
悪	Xấu; ác
悲	Buồn
想	Nghĩ; tưởng
意	Ý; ý muốn
愛	Yêu
感	Cảm giác
成	Trở thành
戦	Chiến đấu
所	Nơi
打	Đánh
投	Ném; đầu tư
折	Gấp; gãy
拾	Nhặt
持	Cầm; có
指	Ngón tay; chỉ
挙	Giơ lên; cử
改	Sửa đổi
放	Thả; phóng
敗	Thua; thất bại
散	Rải; phân tán
整	Sắp xếp; chỉnh
料	Nguyên liệu; phí
旅	Du lịch; chuyến đi
族	Gia tộc; nhóm
旗	Cờ
昔	Ngày xưa
昨	Hôm qua; trước
昭	Sáng rõ
景	Cảnh
暑	Nóng (thời tiết)
暗	Tối
曲	Cong; khúc nhạc
最	Nhất
有	Có
服	Quần áo; phục tùng
望	Mong; hy vọng
期	Kỳ; thời hạn
未	Chưa
末	Cuối; ngọn
札	Thẻ; tiền giấy
材	Vật liệu; tài năng
束	Bó; buộc
松	Cây thông
板	Tấm; bảng
果	Quả; kết quả
柱	Cột
栃	Cây dẻ ngựa Nhật
栄	Thịnh vượng; vinh quang
根	Rễ; gốc
案	Phương án
梅	Cây mơ
梨	Cây lê
械	Máy móc
植	Trồng
業	Nghề; nghiệp
極	Cực; rất
様	Dáng; cách; kính ngữ sau tên
標	Dấu; mục tiêu
横	Ngang
橋	Cầu
機	Máy; cơ hội
欠	Thiếu; ngáp
次	Tiếp theo
歯	Răng
死	Chết
残	Còn lại
氏	Họ; ông/bà
民	Dân
氷	Băng
求	Tìm kiếm; yêu cầu
決	Quyết định
沖	Ngoài khơi
油	Dầu
治	Chữa; cai trị
法	Luật; phương pháp
波	Sóng
泣	Khóc
注	Rót; chú ý; chú thích
泳	Bơi
洋	Đại dương; phương Tây
流	Chảy; dòng
浅	Nông
浴	Tắm
消	Tắt; xóa; tiêu
深	Sâu
清	Trong; sạch
温	Ấm
港	Cảng
湖	Hồ
湯	Nước nóng
満	Đầy; đủ
滋	Bổ dưỡng
漁	Đánh cá
漢	Hán; Trung Hoa
潟	Đầm phá
灯	Đèn
炭	Than
無	Không; không có
然	Như vậy; tự nhiên
焼	Nướng; đốt
照	Chiếu sáng; đối chiếu
熊	Gấu
熱	Nóng; nhiệt; sốt
牧	Chăn nuôi
物	Vật
特	Đặc biệt
球	Quả cầu; bóng
産	Sinh; sản xuất
由	Lý do; nguồn gốc
申	Thưa; trình bày; chi Thân
界	Giới; ranh giới
畑	Ruộng khô; lĩnh vực
病	Bệnh
発	Phát; khởi hành
登	Leo; đăng
的	Đích; mang tính
皮	Da
皿	Đĩa
相	Lẫn nhau; tướng; trạng thái
省	Bộ; tiết kiệm; lược bỏ
県	Tỉnh
真	Thật
着	Mặc; đến
短	Ngắn
研	Mài; nghiên cứu
礼	Lễ; cảm ơn
祝	Chúc mừng
神	Thần
票	Phiếu
祭	Lễ hội; tế
福	Phúc; may mắn
秒	Giây
種	Loại; hạt giống
積	Tích; chất đống
究	Nghiên cứu
章	Chương
童	Trẻ em
競	Thi đấu; cạnh tranh
笑	Cười
笛	Sáo
第	Thứ tự
筆	Bút lông; viết
等	Bằng; loại; vân vân
管	Ống; quản lý
箱	Hộp
節	Đốt; tiết; đoạn
約	Hẹn; khoảng
級	Cấp
終	Kết thúc
結	Buộc; kết nối
給	Cấp; lương
続	Tiếp tục
緑	Xanh lá
練	Luyện tập
縄	Dây thừng
置	Đặt
羊	Cừu
美	Đẹp
群	Nhóm; đàn
習	Học; luyện
老	Già
者	Người
育	Nuôi dưỡng
臣	Bề tôi
良	Tốt
芸	Nghệ thuật
芽	Mầm
苦	Khổ; đắng
英	Anh; xuất sắc
茨	Gai; bụi gai
荷	Hàng; gánh
菜	Rau
落	Rơi
葉	Lá
薬	Thuốc
血	Máu
街	Phố
衣	Áo
表	Bề mặt; bảng; biểu hiện
要	Cần; cốt yếu
覚	Nhớ; thức tỉnh
観	Nhìn; quan sát
訓	Lời dạy; cách đọc Kun
試	Thử; thi
詩	Thơ
説	Giải thích; thuyết
課	Bài; phòng ban
調	Điều tra; điều chỉnh
談	Nói chuyện; bàn luận
議	Thảo luận
豆	Đậu
負	Thua; mang; âm
貨	Hàng hóa; tiền tệ
賀	Chúc mừng
起	Dậy; xảy ra
路	Đường
身	Thân thể
軍	Quân đội
転	Chuyển; quay
軽	Nhẹ
輪	Vòng; bánh xe
辞	Từ; từ chức
農	Nông nghiệp
辺	Vùng lân cận; cạnh
返	Trả lại
追	Đuổi theo
送	Gửi; tiễn
速	Nhanh
連	Liên kết; dẫn theo
進	Tiến lên
遊	Chơi
運	Vận chuyển; vận may
達	Đạt; đến
選	Chọn
郡	Quận; huyện
部	Bộ phận
都	Thủ đô; đô thị
配	Phân phối
酒	Rượu
重	Nặng; quan trọng; chồng
量	Lượng; đo
鉄	Sắt
銀	Bạc
録	Ghi lại
鏡	Gương
開	Mở
関	Liên quan; cửa ải
阜	Gò đất
阪	Dốc
院	Viện
陸	Đất liền
陽	Ánh nắng; dương
隊	Đội
階	Tầng; bậc thang
集	Tập hợp
静	Yên tĩnh
面	Mặt; bề mặt
順	Thứ tự; thuận
題	Đề; chủ đề
願	Mong; cầu xin
類	Loại
飛	Bay
飯	Cơm
飲	Uống
養	Nuôi dưỡng
館	Tòa nhà; quán
香	Mùi thơm
駅	Ga
験	Kiểm nghiệm; hiệu quả
鹿	Hươu
鼻	Mũi
並	Xếp hàng; thông thường
久	Lâu
乱	Loạn; rối
乳	Sữa; vú
亡	Chết; mất
仁	Nhân từ
仏	Phật
仮	Tạm; giả
件	Vụ việc
任	Trách nhiệm; giao phó
似	Giống
余	Dư; còn lại
供	Cung cấp; dâng
価	Giá; giá trị
保	Giữ; bảo vệ
修	Tu sửa; học tập
俳	Thơ haiku; diễn viên
俵	Bao rơm
個	Cá thể; đơn vị đếm vật
値	Giá trị
停	Dừng
備	Chuẩn bị; trang bị
傷	Vết thương; tổn thương
像	Tượng; hình ảnh
優	Ưu tú; dịu dàng
党	Đảng; phe
冊	Quyển
再	Lại; lần nữa
処	Xử lý; nơi
刊	Xuất bản
判	Phán đoán; con dấu
制	Chế độ; quy định
券	Vé; phiếu
刻	Khắc; thời khắc
則	Quy tắc
割	Chia; tỷ lệ
創	Sáng tạo; vết thương
劇	Kịch
効	Hiệu quả
務	Nhiệm vụ
勢	Thế; sức mạnh
勤	Cần cù; làm việc
危	Nguy hiểm
卵	Trứng
厚	Dày; hậu
厳	Nghiêm khắc
収	Thu; nhận
句	Câu; cụm từ
可	Có thể; được phép
史	Lịch sử
后	Hoàng hậu
否	Không; phủ định
吸	Hút; hít
告	Báo; thông báo
呼	Gọi
善	Tốt; thiện
喜	Vui mừng
営	Kinh doanh; vận hành
因	Nguyên nhân
団	Đoàn; nhóm
困	Khó khăn; bối rối
囲	Bao quanh
圧	Áp lực
在	Tồn tại; ở
均	Đều; bình quân
垂	Rủ xuống
型	Khuôn; kiểu
域	Vùng; phạm vi
基	Nền tảng
堂	Sảnh; nhà lớn
報	Báo; đền đáp
境	Ranh giới; hoàn cảnh
墓	Mộ
増	Tăng
士	Kẻ sĩ; võ sĩ
夢	Giấc mơ
奏	Tấu nhạc
奮	Hăng hái; phấn đấu
妻	Vợ
姿	Dáng vẻ
婦	Phụ nữ; vợ
存	Tồn tại
孝	Hiếu thảo
宅	Nhà ở
宇	Mái nhà; không gian
宗	Tôn giáo; tông phái
宙	Không gian
宝	Báu vật
宣	Tuyên bố
容	Chứa; dung mạo
寄	Ghé; gửi; gần
密	Mật; dày đặc
寸	Tấc
専	Chuyên
射	Bắn; chiếu
将	Tướng; sắp
尊	Tôn kính
導	Dẫn dắt
就	Đảm nhiệm; theo
尺	Thước
居	Ở
届	Đến; gửi đến; trình báo
展	Mở rộng; triển lãm
属	Thuộc
層	Tầng; lớp
己	Bản thân
巻	Cuốn; quyển
布	Vải; phân bố
師	Thầy; chuyên gia
常	Thường
幕	Màn
干	Phơi; khô
幹	Thân cây; phần chính
幼	Nhỏ; thơ ấu
庁	Cơ quan chính phủ
序	Thứ tự; lời mở đầu
座	Ngồi; chỗ ngồi
延	Kéo dài
弁	Biện luận; phương ngữ; van
張	Căng; giăng
往	Đi; trước đây
律	Luật; nhịp
従	Theo; tuân theo
得	Được; thu được
復	Trở lại; phục hồi
志	Chí hướng
忘	Quên
応	Đáp ứng
忠	Trung thành
快	Thoải mái; vui
性	Tính chất; giới tính
恩	Ơn
情	Tình cảm; tình hình
態	Trạng thái; thái độ
慣	Quen
憲	Hiến pháp
我	Ta; bản ngã
批	Phê bình
承	Tiếp nhận; thừa nhận
技	Kỹ năng
担	Gánh; đảm nhận
招	Mời; vẫy gọi
拝	Bái; kính lạy
拡	Mở rộng
捨	Vứt bỏ
授	Trao; dạy
採	Hái; chọn; lấy
探	Tìm kiếm
接	Tiếp xúc
推	Đẩy; suy đoán; tiến cử
提	Đề xuất; cầm
揮	Vung; chỉ huy
損	Thiệt hại
操	Điều khiển
支	Chống đỡ; chi nhánh
政	Chính trị
故	Cũ; nguyên do; đã mất
救	Cứu
敬	Kính trọng
敵	Kẻ thù
断	Cắt đứt; từ chối; quyết đoán
旧	Cũ
易	Dễ; thay đổi
映	Chiếu; phản chiếu
晩	Buổi tối
暖	Ấm
暮	Chiều tối; sinh sống
暴	Bạo lực; dữ dội
朗	Sáng sủa; vui vẻ
机	Bàn
条	Điều khoản; vệt
枚	Tờ; tấm
枝	Cành
染	Nhuộm; nhiễm
査	Kiểm tra
株	Gốc cây; cổ phần
格	Cách; cấp bậc; tư cách
桜	Hoa anh đào
棒	Gậy
検	Kiểm tra
構	Cấu tạo; dựng
模	Mô hình; bắt chước
権	Quyền
樹	Cây; dựng lập
欲	Muốn; ham muốn
武	Võ; quân sự
歴	Lịch sử; trải qua
段	Bậc; đoạn
殺	Giết
毒	Độc
比	So sánh; tỷ lệ
永	Vĩnh viễn
河	Sông
沿	Dọc theo
泉	Suối
洗	Rửa
派	Phái; nhóm
液	Chất lỏng
混	Trộn; lẫn
済	Xong; thanh toán; cứu giúp
減	Giảm
測	Đo
源	Nguồn
準	Chuẩn; bán; tương ứng
演	Diễn
潔	Sạch; thanh khiết
潮	Thủy triều
激	Mãnh liệt
灰	Tro
災	Tai họa
熟	Chín; thành thạo
燃	Cháy
片	Mảnh; một phía
版	Bản in; phiên bản
犯	Phạm tội
状	Trạng thái; hình dạng
独	Độc lập; một mình
率	Tỷ lệ; dẫn đầu
班	Tổ; nhóm
現	Hiện tại; hiện ra
留	Giữ lại; lưu
略	Lược; tóm tắt
異	Khác; lạ
疑	Nghi ngờ
痛	Đau
皇	Hoàng đế
益	Lợi ích
盛	Thịnh; đầy
盟	Liên minh; thề
看	Trông; chăm sóc
眼	Mắt
砂	Cát
破	Phá; rách
確	Chắc; xác nhận
磁	Từ tính; sứ
示	Chỉ; biểu thị
祖	Tổ tiên
禁	Cấm
私	Tôi; riêng tư
秘	Bí mật
移	Di chuyển
程	Mức độ; quá trình
税	Thuế
穀	Ngũ cốc
穴	Lỗ; hang
窓	Cửa sổ
筋	Cơ; gân; mạch truyện
策	Kế sách
築	Xây dựng
簡	Đơn giản
粉	Bột
精	Tinh; tinh lực
糖	Đường
系	Hệ thống; dòng
紀	Kỷ; ghi chép
紅	Đỏ thẫm
納	Nộp; thu; cất
純	Thuần; tinh khiết
素	Yếu tố; nguyên chất
経	Kinh; trải qua
統	Thống nhất; cai quản
絶	Tuyệt; ngắt hẳn
絹	Lụa
綿	Bông
総	Tổng
編	Biên soạn; đan
縦	Dọc
縮	Co; rút ngắn
績	Thành tích
織	Dệt
罪	Tội
署	Ký tên; sở
義	Nghĩa; chính nghĩa
翌	Tiếp theo
耕	Cày
聖	Thánh
職	Nghề; chức vụ
肥	Béo; phân bón
肺	Phổi
胃	Dạ dày
背	Lưng; chiều cao; phản
胸	Ngực
能	Khả năng
脈	Mạch
脳	Não
腸	Ruột
腹	Bụng
臓	Nội tạng
臨	Đối mặt; đến dự
至	Đến; tột cùng
興	Hưng; hứng thú
舌	Lưỡi
舎	Nhà; chỗ ở
航	Hàng hải; bay
若	Trẻ
著	Viết; nổi bật
蒸	Hấp; hơi
蔵	Kho; cất giữ
蚕	Tằm
衆	Đám đông
術	Kỹ thuật
衛	Bảo vệ
裁	Cắt may; xét xử
装	Trang bị; trang phục
裏	Mặt sau; bên trong
補	Bổ sung
製	Chế tạo
複	Kép; phức hợp
規	Quy tắc; chuẩn
視	Nhìn; coi
覧	Xem
解	Giải; hiểu; tháo
討	Đánh; thảo luận
訪	Thăm
設	Thiết lập
許	Cho phép
訳	Dịch; lý do
証	Chứng minh
評	Đánh giá
詞	Từ; lời
誌	Ghi chép; tạp chí
認	Nhận ra; công nhận
誕	Sinh ra
誠	Thành thật
誤	Sai
論	Luận; bàn
諸	Các; nhiều
講	Giảng
謝	Cảm ơn; xin lỗi
識	Biết; nhận thức
警	Cảnh báo
護	Bảo vệ
豊	Phong phú
象	Voi; hình tượng
財	Tài sản
貧	Nghèo
責	Trách nhiệm; trách cứ
貯	Tích trữ
貴	Quý
貸	Cho mượn
費	Chi phí
貿	Mậu dịch
賃	Tiền thuê; tiền công
資	Vốn; tài nguyên
賛	Tán thành; khen
賞	Thưởng
質	Chất; chất lượng
輸	Vận chuyển
述	Trình bày
迷	Lạc; phân vân
退	Lùi; rút lui
逆	Ngược
造	Tạo
過	Qua; quá; lỗi
適	Phù hợp
遺	Để lại
郵	Bưu điện
郷	Quê hương
酸	Chua; axit
針	Kim
鉱	Quặng
銅	Đồng
銭	Tiền; xu
鋼	Thép
閉	Đóng
閣	Gác; nội các
防	Phòng; bảo vệ
降	Rơi; xuống; đầu hàng
限	Giới hạn
陛	Bậc thềm cung điện; bệ hạ
除	Loại bỏ; chia
険	Hiểm; dốc
際	Dịp; ranh giới
障	Cản trở
雑	Tạp; hỗn hợp
難	Khó
非	Không; sai
革	Da thuộc; đổi mới
頂	Đỉnh; nhận
預	Gửi; nhận giữ
領	Lãnh thổ; quản lĩnh
額	Trán; số tiền
飼	Nuôi
骨	Xương
丈	Chiều dài; trượng
与	Cho; tham dự
且	Hơn nữa; đồng thời
丘	Đồi
丙	Can Bính; hạng ba
串	Xiên
丹	Đỏ son
丼	Bát cơm có thức ăn phủ trên
乏	Thiếu thốn
乙	Can Ất; thứ hai
乞	Cầu xin
乾	Khô
亀	Rùa
了	Xong; hiểu
互	Lẫn nhau
亜	Á; thứ cấp
享	Hưởng
亭	Đình; quán
介	Giới thiệu; ở giữa
仙	Tiên
仰	Ngước; kính ngưỡng
企	Dự định; lập kế hoạch
伎	Kỹ nghệ
伏	Nằm sấp; phục
伐	Chặt; đánh
伯	Bá; bác
伴	Đi cùng
伸	Duỗi; kéo dài
伺	Hỏi; thăm (khiêm nhường)
但	Tuy nhiên
佳	Đẹp; tốt
併	Gộp
侍	Võ sĩ; hầu hạ
依	Dựa vào
侮	Khinh thường
侯	Hầu tước
侵	Xâm phạm
侶	Bạn đồng hành
促	Thúc giục
俊	Tài giỏi
俗	Phong tục; tầm thường
俸	Lương bổng
俺	Tôi (thân mật, nam giới)
倒	Đổ; ngã
倣	Bắt chước
倫	Luân lý
倹	Tiết kiệm
偉	Vĩ đại
偏	Lệch; thiên về
偵	Trinh sát
偶	Ngẫu nhiên; số chẵn
偽	Giả
傍	Bên cạnh
傑	Kiệt xuất
傘	Ô; dù
催	Tổ chức; thúc đẩy
傲	Kiêu ngạo
債	Nợ
傾	Nghiêng
僅	Chỉ; rất ít
僕	Tôi (nam giới)
僚	Đồng liêu
僧	Nhà sư
儀	Nghi lễ
儒	Nho giáo
償	Bồi thường
充	Lấp đầy; sung túc
克	Khắc phục
免	Miễn
兼	Kiêm
冒	Mạo hiểm
冗	Dư thừa
冠	Vương miện
冥	Tối tăm; cõi âm
冶	Luyện kim
凄	Ghê; dữ dội
准	Chuẩn; phó
凍	Đóng băng
凝	Đông; tập trung
凡	Bình thường
凶	Hung; xấu
凸	Lồi
凹	Lõm
刃	Lưỡi dao
刈	Gặt; cắt
刑	Hình phạt
到	Đến
刹	Chùa
刺	Đâm; gai
削	Gọt; cắt giảm
剖	Mổ; phân tích
剛	Cứng; mạnh
剝	Bóc; lột
剣	Kiếm
剤	Chế phẩm; thuốc
剰	Dư thừa
劣	Kém
励	Khích lệ; cố gắng
劾	Hạch tội
勃	Đột nhiên; nổi lên
勅	Chiếu chỉ
勘	Trực giác
募	Tuyển; quyên góp
勧	Khuyên
勲	Công trạng
勾	Cong; dốc
匂	Mùi
匠	Thợ lành nghề
匹	Đơn vị đếm động vật
匿	Che giấu
升	Đấu đong (1,8 lít)
卑	Thấp hèn
卓	Bàn; xuất sắc
占	Chiếm; bói
即	Ngay; tức là
却	Lại; từ bỏ
卸	Bán buôn; dỡ xuống
厄	Tai ách
厘	Ly; đơn vị nhỏ
又	Lại
及	Đến; cùng với
双	Đôi
叔	Chú; em của cha
叙	Thuật lại; ban
叫	Kêu; hét
召	Gọi; mời
吉	Tốt lành
吏	Quan lại
吐	Nôn; nhổ; thở ra
吟	Ngâm
含	Chứa
吹	Thổi
呂	Xương sống; dùng trong từ furo (bồn tắm)
呈	Trình; thể hiện
呉	Cho; nước Ngô
呪	Nguyền rủa
咲	Nở hoa
咽	Họng; nghẹn
哀	Buồn; thương xót
哲	Triết; sáng suốt
哺	Mớm; cho bú
唄	Bài hát
唆	Xúi giục
唇	Môi
唐	Nhà Đường; Trung Hoa
唯	Chỉ; duy nhất
唾	Nước bọt
啓	Mở; khai sáng
喉	Cổ họng
喚	Gọi; hét
喝	Quát; mắng
喩	Ví von
喪	Tang; mất
喫	Ăn uống; hưởng
嗅	Ngửi
嗣	Kế thừa
嘆	Than; thở dài
嘱	Ủy thác
嘲	Chế giễu
噴	Phun
嚇	Dọa nạt
囚	Tù nhân
圏	Vòng; khu vực
坊	Cậu bé; chỗ ở của sư
坑	Hố; hầm
坪	Đơn vị diện tích tsubo (khoảng 3,3 m²)
垣	Hàng rào
埋	Chôn; lấp
執	Nắm; chấp
培	Bồi dưỡng
堀	Hào
堅	Cứng; vững
堆	Chất đống
堕	Sa ngã
堤	Đê
堪	Chịu đựng
塀	Tường rào
塁	Lũy; gôn bóng chày
塊	Khối
塑	Nặn; tạo hình
塔	Tháp
塗	Sơn; bôi
塚	Gò; mộ
塞	Bịt; ngăn
塡	Lấp đầy
塾	Trường luyện thi
墜	Rơi
墨	Mực tàu
墳	Mộ
墾	Khai hoang
壁	Tường
壇	Đàn; bục
壊	Hỏng; phá
壌	Đất
壮	Cường tráng
壱	Một (văn tự tài chính)
奇	Lạ
奉	Dâng; phụng sự
契	Giao ước
奔	Chạy vội
奥	Bên trong sâu
奨	Khuyến khích
奪	Cướp; đoạt
奴	Nô lệ; gã
如	Như
妃	Phi; công nương
妄	Hão; sai lầm
妊	Mang thai
妖	Yêu quái; quyến rũ
妙	Kỳ diệu; lạ
妥	Thỏa đáng
妨	Cản trở
妬	Ghen
姓	Họ
姫	Công chúa
姻	Hôn nhân
威	Uy; đe dọa
娘	Con gái
娠	Mang thai
娯	Giải trí
